level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	191	0	0	0	1258.195092	1054.452794	31.742040	10.794240	-1	###LINE###
5	1	191	0	0	0	1258.20	1054.45	31.74	10.79	100	p1052
3	1	192	0	0	0	1152.236052	1124.655674	31.742040	10.794240	-1	###FLOW###
4	1	192	0	0	0	1152.236052	1124.655674	31.742040	10.794240	-1	###LINE###
5	1	192	0	0	0	1152.24	1124.66	31.74	10.79	100	p1021
3	1	193	0	0	0	272.033850	1260.856634	6.348408	10.794240	-1	###FLOW###
4	1	193	0	0	0	272.033850	1260.856634	6.348408	10.794240	-1	###LINE###
5	1	193	0	0	0	272.03	1260.86	6.35	10.79	100	2
3	1	194	0	0	0	1590.470310	906.946394	23.948895	13.759200	-1	###FLOW###
4	1	194	0	0	0	1590.470310	906.946394	23.948895	13.759200	-1	###LINE###
5	1	194	0	0	0	1590.47	908.90	6.35	10.79	100	3
5	1	194	0	0	1	1597.00	906.95	5.59	9.44	100	7
5	1	194	0	0	2	1601.31	907.95	3.33	11.24	100	/
5	1	194	0	0	3	1603.23	911.26	11.19	9.44	100	16
3	1	195	0	0	0	1486.692353	1069.501394	126.299341	16.303800	-1	###FLOW###
4	1	195	0	0	0	1486.692353	1069.501394	126.299341	16.303800	-1	###LINE###
5	1	195	0	0	0	1486.69	1069.50	77.62	16.30	100	SECTION
5	1	195	0	0	1	1568.29	1069.50	5.79	16.30	100	-
5	1	195	0	0	2	1578.00	1069.50	10.63	16.30	100	F
5	1	195	0	0	3	1592.53	1069.50	5.79	16.30	100	-
5	1	195	0	0	4	1602.36	1069.50	10.63	16.30	100	F
3	1	196	0	0	0	363.834570	1125.369914	33.433594	10.794240	-1	###FLOW###
4	1	196	0	0	0	363.834570	1125.369914	33.433594	10.794240	-1	###LINE###
5	1	196	0	0	0	363.83	1125.37	33.43	10.79	100	w1025
3	1	197	0	0	0	619.904200	1141.875194	9.610136	13.492800	-1	###FLOW###
4	1	197	0	0	0	619.904200	1141.875194	9.610136	13.492800	-1	###LINE###
5	1	197	0	0	0	619.90	1141.88	9.61	13.49	100	E
3	1	198	0	0	0	1541.155968	906.946394	18.351156	13.759200	-1	###FLOW###
4	1	198	0	0	0	1541.155968	906.946394	18.351156	13.759200	-1	###LINE###
5	1	198	0	0	0	1541.16	908.90	6.35	10.79	100	8
5	1	198	0	0	1	1547.68	906.95	5.59	9.44	100	1
5	1	198	0	0	2	1551.99	907.95	3.33	11.24	100	/
5	1	198	0	0	3	1553.91	911.26	5.59	9.44	100	2
3	1	199	0	0	0	1434.706560	935.913269	13.759200	18.335019	-1	###FLOW###
4	1	199	0	0	0	1434.706560	935.913269	13.759200	18.335019	-1	###LINE###
5	1	199	0	0	0	1436.65	947.90	10.79	6.35	100	1
5	1	199	0	0	1	1434.71	942.27	9.44	5.59	100	1
5	1	199	0	0	2	1435.70	940.22	11.24	3.33	100	/
5	1	199	0	0	3	1439.02	935.91	9.44	5.59	100	2
3	1	200	0	0	0	1314.973440	948.048314	10.794240	18.679848	-1	###FLOW###
4	1	200	0	0	0	1314.973440	948.048314	10.794240	18.679848	-1	###LINE###
5	1	200	0	0	0	1314.97	948.05	10.79	18.68	100	4'-0
3	1	201	0	0	0	1411.695360	984.974126	10.794240	6.348408	-1	###FLOW###
4	1	201	0	0	0	1411.695360	984.974126	10.794240	6.348408	-1	###LINE###
5	1	201	0	0	0	1411.70	984.97	10.79	6.35	100	7
3	1	202	0	0	0	941.008804	985.174475	12.051232	11.669502	-1	###FLOW###
4	1	202	0	0	0	941.008804	985.174475	12.051232	11.669502	-1	###LINE###
5	1	202	0	0	0	941.01	985.17	9.44	4.23	100	7
5	1	202	0	0	1	941.82	990.07	11.24	2.51	100	/
5	1	202	0	0	2	941.72	992.62	9.44	4.23	100	8
3	1	203	0	0	0	787.796328	1007.773754	31.742040	10.794240	-1	###FLOW###
4	1	203	0	0	0	787.796328	1007.773754	31.742040	10.794240	-1	###LINE###
5	1	203	0	0	0	787.80	1007.77	31.74	10.79	100	p1016
3	1	204	0	0	0	706.797036	1009.419674	24.814152	13.890240	-1	###FLOW###
4	1	204	0	0	0	706.797036	1009.419674	24.814152	13.890240	-1	###LINE###
5	1	204	0	0	0	706.80	1011.49	12.70	10.79	100	10
5	1	204	0	0	1	719.78	1009.42	5.59	9.44	100	3
5	1	204	0	0	2	724.10	1010.43	3.33	11.24	100	/
5	1	204	0	0	3	726.02	1013.86	5.59	9.44	100	8
3	1	205	0	0	0	1206.471552	934.061594	18.352524	13.769280	-1	###FLOW###
4	1	205	0	0	0	1206.471552	934.061594	18.352524	13.769280	-1	###LINE###
5	1	205	0	0	0	1206.47	936.02	6.35	10.79	100	2
5	1	205	0	0	1	1212.98	934.06	5.59	9.44	100	1
5	1	205	0	0	2	1217.30	934.95	3.33	11.24	100	/
5	1	205	0	0	3	1219.23	938.39	5.59	9.44	100	4
3	1	206	0	0	0	1145.295360	964.693417	10.794240	33.708277	-1	###FLOW###
4	1	206	0	0	0	1145.295360	964.693417	10.794240	33.708277	-1	###LINE###
5	1	206	0	0	0	1145.30	964.69	10.79	33.71	100	w1023
3	1	207	0	0	0	982.097212	953.017899	9.597524	14.873037	-1	###FLOW###
4	1	207	0	0	0	982.097212	953.017899	9.597524	14.873037	-1	###LINE###
5	1	207	0	0	0	982.10	953.02	9.60	14.87	100	a1
3	1	208	0	0	0	690.255360	981.628652	10.794240	12.696816	-1	###FLOW###
4	1	208	0	0	0	690.255360	981.628652	10.794240	12.696816	-1	###LINE###
5	1	208	0	0	0	690.26	981.63	10.79	12.70	100	12
3	1	209	0	0	0	748.071216	962.277906	11.791888	11.911094	-1	###FLOW###
4	1	209	0	0	0	748.071216	962.277906	11.791888	11.911094	-1	###LINE###
5	1	209	0	0	0	748.07	964.75	4.23	9.44	100	7
5	1	209	0	0	1	752.98	962.28	2.52	11.24	100	/
5	1	209	0	0	2	755.63	964.03	4.23	9.44	100	8
3	1	210	0	0	0	1118.393100	933.103994	29.580216	13.759200	-1	###FLOW###
4	1	210	0	0	0	1118.393100	933.103994	29.580216	13.759200	-1	###LINE###
5	1	210	0	0	0	1118.39	935.05	6.35	10.79	100	3
5	1	210	0	0	1	1124.91	933.10	11.19	9.44	100	13
5	1	210	0	0	2	1134.86	934.11	3.33	11.24	100	/
5	1	210	0	0	3	1136.79	937.42	11.19	9.44	100	16
3	1	211	0	0	0	991.698000	940.527614	14.397956	19.077118	-1	###FLOW###
4	1	211	0	0	0	1001.298788	940.527614	4.797168	10.790914	-1	###LINE###
5	1	211	0	0	0	1001.30	940.53	4.80	10.79	100	5
4	1	211	0	1	0	991.698000	944.609737	9.597600	14.994995	-1	###LINE###
5	1	211	0	1	0	991.70	944.61	9.60	14.99	100	00
3	1	212	0	0	0	1040.739840	963.867230	13.890240	24.817746	-1	###FLOW###
4	1	212	0	0	0	1040.739840	963.867230	13.890240	24.817746	-1	###LINE###
5	1	212	0	0	0	1042.81	975.99	10.79	12.70	100	10
5	1	212	0	0	1	1040.74	970.11	9.44	5.59	100	3
5	1	212	0	0	2	1041.74	968.06	11.24	3.33	100	/
5	1	212	0	0	3	1045.19	963.87	9.44	5.59	100	8
3	1	213	0	0	0	822.735360	932.414731	10.794240	33.708277	-1	###FLOW###
4	1	213	0	0	0	822.735360	932.414731	10.794240	33.708277	-1	###LINE###
5	1	213	0	0	0	822.74	932.41	10.79	33.71	100	w1023
3	1	214	0	0	0	580.815360	941.412115	10.794240	33.708277	-1	###FLOW###
4	1	214	0	0	0	580.815360	941.412115	10.794240	33.708277	-1	###LINE###
